Titel,URL,Date_Info,News_page
Megastaudamm in Äthiopien: Die Macht der Flüsse,https://www.spiegel.de/ausland/aethiopien-der-grand-ethiopian-renaissance-dam-beginnt-mit-stromproduktion-a-3f10d990-fb6a-4c06-8c66-febf7eaaae82,24022022_11:37 ,Spiegel
Nach Putins Invasionsbefehl: Selenskyj ruft Russen zu Protesten auf,https://www.spiegel.de/ausland/ukraine-wolodymyr-selenskyj-ruft-russen-nach-wladimir-putins-grossangriff-zu-protesten-auf-a-c545a5fd-d93b-459c-906e-f4db1bcfae53,24022022_11:36 ,Spiegel
Fußballquiz: Wer war Flicks Boss in Salzburg?,https://www.spiegel.de/sport/fussball/fussball-quiz-wer-war-hansi-flicks-boss-in-salzburg-a-1dc68853-49d3-4f24-924d-aed11111c4b8,24022022_11:35 ,Spiegel
Russischer Angriff auf Kiew: »Um 5.50 Uhr hörten wir den ersten Knall«,https://www.spiegel.de/ausland/russlands-angriff-auf-kiew-um-5-50-uhr-hoerten-wir-den-ersten-knall-a-9ee76706-d4c7-4516-88f5-b04cba2e0c97,24022022_11:34 ,Spiegel
Betrugsverdacht in NRW: Razzia gegen Betreiber von mehreren Corona-Testzentren,https://www.spiegel.de/panorama/justiz/nordrhein-westfalen-razzia-gegen-betreiber-von-mehreren-corona-testzentren-a-9ba37fcd-9732-49a8-8279-621a21c3683b,24022022_11:28 ,Spiegel
Nach russischem Angriff auf die Ukraine: Gazprom-Mann verlässt Aufsichtsrat von Schalke,https://www.spiegel.de/sport/fussball/russland-krise-fc-schalke-04-matthias-warnig-von-gazprom-verlaesst-aufsichtsrat-a-d4220ce9-f646-4295-a33d-d27c638d1720,24022022_11:21 ,Spiegel
Putins Krieg und die Crew auf der ISS: Wie kommen russische Kosmonauten und amerikanische Astronauten jetzt klar?,https://www.spiegel.de/wissenschaft/weltall/internationale-raumstation-us-russische-zusammenarbeit-auf-der-iss-vorerst-nicht-gefaehrdet-a-7f4b120e-eed0-4734-a0d7-ed7153bb9a9f,24022022_11:20 ,Spiegel
Statement: Bundeskanzler Scholz zum Angriff auf die Ukraine,https://www.spiegel.de/politik/bundeskanzler-olaf-scholz-zum-krieg-in-der-ukraine-livestream-a-64ef761e-9d93-43d8-91a5-0b0271788762,24022022_11:20 ,Spiegel
"Mit Kindern über Krieg sprechen: »Papi, müssen wir alle sterben?«",https://www.spiegel.de/familie/mit-kindern-ueber-krieg-sprechen-papi-muessen-wir-alle-sterben-a-c9f73b7f-5ee1-4c40-a4a5-ab4d4a6a49b6,24022022_11:06 ,Spiegel
"Coronavirus in Deutschland: Sieben-Tage-Inzidenz sinkt erneut, Stiko-Chef warnt vor Omikron-Untervariante BA.2",https://www.spiegel.de/wissenschaft/medizin/coronavirus-sieben-tage-inzidenz-sinkt-erneut-a-697b4d45-4c13-4a9f-88ea-ca2b7c282d58,24022022_11:05 ,Spiegel
