Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Berliner Feuerwehr ruft wegen Sturms Ausnahmezustand aus,18022022_21:01,https://www.sueddeutsche.de/panorama/unwetter-berlin-berliner-feuerwehr-ruft-wegen-sturms-ausnahmezustand-aus-dpa.urn-newsml-dpa-com-20090101-220218-99-197618,Unwetter - Berlin,dpa,,,20022022,Sueddeutsche,panorama
Ab in die Antarktis!,18022022_21:01,https://www.sueddeutsche.de/muenchen/starnberg/gymnasium-herrsching-biotop-naturschutz-biotop-umweltfrevel-kolumne-1.5531633,Kolumne,,"Von Eurem Nepomuk, Herrsching","Warum Herrschings Bürgermeister seinen nächsten Urlaub nicht mehr in Costa Rica verbringen wird.
                        
                            Von Eurem Nepomuk, Herrsching",20022022,Sueddeutsche,muenchen
Baumfällungen für den B2-Tunnel,18022022_21:01,https://www.sueddeutsche.de/muenchen/starnberg/starnberg-tunnel-b2-baeume-1.5532136,Verkehr,,,,20022022,Sueddeutsche,muenchen
Kripo ermittelt nach Dachstuhlbrand,18022022_21:01,https://www.sueddeutsche.de/muenchen/starnberg/poecking-kriminalpolizei-dachstuhlbrand-1.5532173,Pöcking,,,,20022022,Sueddeutsche,muenchen
Ideen zur Landesgartenschau gesucht,18022022_21:01,https://www.sueddeutsche.de/muenchen/starnberg/starnberg-landesgartenschau-online-buergerdialog-2032-patrick-janik-1.5532157,Starnberg,,,Bürger können sich bei Online-Dialog aktiv an der Bewerbung der Stadt beteiligen.,20022022,Sueddeutsche,muenchen
74-Jähriger kommt bei Verkehrsunfall ums Leben,18022022_21:01,https://www.sueddeutsche.de/muenchen/starnberg/unfall-bernried-seeshaupt-staatsstrasse-toedlich-1.5532274,Bernried,,,,20022022,Sueddeutsche,muenchen
Die nächste Fuhre Wunschmünzen,18022022_21:01,https://www.sueddeutsche.de/muenchen/starnberg/landkreis-starnberg-starnberg-brunnen-kirchplatz-griechische-taverna-bayerischer-hof-pfusch-1.5531972,Starnberg,,"Von Peter Haacke, Starnberg","Starnberg muss wieder Geld für die beiden erst zehn Jahre alten Brunnen auf dem Kirchplatz ausgeben. Eine Anlage funktioniert immer noch nicht, die andere ist undicht - mit Folgen für die Tiefgarage. 
                        
                            Von Peter Haacke, Starnberg",20022022,Sueddeutsche,muenchen
Spurensuche auf dem Milchberg,18022022_21:01,https://www.sueddeutsche.de/muenchen/starnberg/starnberger-see-berg-nazis-aktion-brandt-klinik-zwangsarbeiterlager-ns-vergangenheit-1.5531647,NS-Vergangenheit,,"Von Sabine Bader, Berg","Der ehrenamtliche Archivar Heinz Rothenfußer hat herausgefunden, dass die Nazis in Berg zwei Zwangsarbeiterlager und eine ""Aktion-Brandt-Klinik"" betrieben. Nachforschungen führen nach Kempfenhausen.
                        
                            Von Sabine Bader, Berg",20022022,Sueddeutsche,muenchen
Neue Berechnung,18022022_21:01,https://www.sueddeutsche.de/muenchen/freising/wertstoffhoefe-im-landkreis-neue-berechnung-1.5532014,Wertstoffhöfe im Landkreis,,,Landkreis zahlt künftig 50 Cent pro Einwohner an Gemeinden,20022022,Sueddeutsche,muenchen
Knigge für Nachtschwärmer,18022022_21:01,https://www.sueddeutsche.de/muenchen/freising/ende-der-sperrstunde-knigge-fuer-nachtschwaermer-1.5531999,Ende der Sperrstunde,,,Das Nachtleben müssen nach langer Corona-Pause einige erst wieder lernen,20022022,Sueddeutsche,muenchen
Freisinger Einheitsgrau,18022022_21:01,https://www.sueddeutsche.de/muenchen/freising/kirchbergers-woche-freisinger-einheitsgrau-1.5532003,Kirchbergers Woche,,Kolumne von Johann Kirchberger,"Es muss nun endlich Schluss sein, mit  dem Winter, mit Corona und den Baustellen in der Innenstadt
                        
                            Kolumne von Johann Kirchberger",20022022,Sueddeutsche,muenchen
16 Eschen müssen gefällt werden,18022022_21:01,https://www.sueddeutsche.de/muenchen/freising/an-der-b-301-in-freising-16-eschen-muessen-gefaellt-werden-1.5532005,An der B 301 in Freising,,,,20022022,Sueddeutsche,muenchen
