Titel,Date_Info,URL,Overline,Breadcrumb,author,detailed_informations,Zugriff_Datum,News_page,Kategorie
Chinas Einzelhandel und Industrie erholen sich überraschend,15112021_08:08,https://www.sueddeutsche.de/wirtschaft/einzelhandel-chinas-einzelhandel-und-industrie-erholen-sich-ueberraschend-dpa.urn-newsml-dpa-com-20090101-211115-99-02036,Einzelhandel,dpa,,,15112021,Sueddeutsche,wirtschaft
Ampel-Parteien planen 3-G-Regel für Bus und Bahn,15112021_08:08,https://www.sueddeutsche.de/politik/corona-aktuell-3g-bus-bahn-kontaktbeschraenkung-ungeimpfte-1.5464292,Meldungen zum Coronavirus,,Nachrichten aus Deutschland und aller Welt,"SPD, Grüne und FDP verschärfen ihre Corona-Pläne. Auch Kontaktbeschränkungen für Ungeimpfte sollen möglich sein. Die bundesweite Sieben-Tage-Inzidenz steigt erstmals auf mehr als 300.
                        
                            Nachrichten aus Deutschland und aller Welt",15112021,Sueddeutsche,politik
Online-Händler Otto rechnet kaum mit Lieferengpässen,15112021_08:02,https://www.sueddeutsche.de/wirtschaft/handel-online-haendler-otto-rechnet-kaum-mit-lieferengpaessen-dpa.urn-newsml-dpa-com-20090101-211115-99-01077,Handel,dpa,,,15112021,Sueddeutsche,wirtschaft
Hamilton demütigt Verstappen,15112021_08:00,https://www.sueddeutsche.de/sport/formel-1-hamilton-verstappen-brasilien-highlights-1.5464328,Sieben Kurven der Formel 1,,Von Elmar Brümmer,"Der Niederländer wehrt sich rüde, aber vergeblich. Toto Wolff beklagt eine ""Sauerei"" - und Sebastian Vettel findet seine Inspiration. Die Höhepunkte des Formel-1-Wochenendes in Brasilien.
                        
                            Von Elmar Brümmer",15112021,Sueddeutsche,sport
 Was Hoffnung macht,15112021_07:58,https://projekte.sueddeutsche.de/artikel/wirtschaft/pandemie-protokolle-was-macht-hoffnung-e552704/,Protokolle zum SZ-Wirtschaftsgipfel,,Von SZ-Autoren,"Wie blicken Sie zurück - und sind Sie optimistisch? Politikerin Rita Süssmuth erzählt von Verlust, Gastronomin Sandra Forster von Glück auf der Tanzfläche und Soziologe Jean Ziegler von Intimität.
                        
                            Von SZ-Autoren",15112021,Sueddeutsche,artikel
Zahl der Toten nach Festival-Unglück steigt,15112021_07:35,https://www.sueddeutsche.de/panorama/unfaelle-zahl-der-toten-nach-festival-unglueck-steigt-dpa.urn-newsml-dpa-com-20090101-211115-99-01772,Unfälle,dpa,,,15112021,Sueddeutsche,panorama
Brand in Hildesheim: 19 Menschen müssen Wohnungen verlassen,15112021_07:35,https://www.sueddeutsche.de/panorama/braende-hildesheim-brand-in-hildesheim-19-menschen-muessen-wohnungen-verlassen-dpa.urn-newsml-dpa-com-20090101-211115-99-01835,Brände - Hildesheim,dpa,,,15112021,Sueddeutsche,panorama
Trafo-Schwertransport kurz vor dem Ziel,15112021_07:33,https://www.sueddeutsche.de/wirtschaft/verkehr-oststeinbek-trafo-schwertransport-kurz-vor-dem-ziel-dpa.urn-newsml-dpa-com-20090101-211115-99-01813,Verkehr - Oststeinbek,dpa,,,15112021,Sueddeutsche,wirtschaft
Corona-Ampel auf Rot: Was aktuell in Bayern gilt,15112021_07:32,https://www.sueddeutsche.de/bayern/bayern-corona-regeln-ampel-1.4878824,Corona-Krise im Freistaat,,Von Max Ferstl und Kassian Stroh,"In Kultur und Freizeit greift fast überall 2 G, von morgen an auch in der Gastronomie, im Klassenzimmer müssen weiter Masken getragen werden: Ein Überblick über die verschärften Corona-Regeln.
                        
                            Von Max Ferstl und Kassian Stroh",15112021,Sueddeutsche,bayern
Männliche Leiche bei Furth im Wald gefunden,15112021_07:29,https://www.sueddeutsche.de/bayern/kriminalitaet-furth-im-wald-maennliche-leiche-bei-furth-im-wald-gefunden-dpa.urn-newsml-dpa-com-20090101-211115-99-01799,Kriminalität - Furth im Wald,dpa,,,15112021,Sueddeutsche,bayern
Streeck: Werden nicht um Kontaktbeschränkungen herumkommen,15112021_07:22,https://www.sueddeutsche.de/gesundheit/gesundheit-bonn-streeck-werden-nicht-um-kontaktbeschraenkungen-herumkommen-dpa.urn-newsml-dpa-com-20090101-211115-99-01722,Gesundheit - Bonn,dpa,,,15112021,Sueddeutsche,gesundheit
Neue Zentrums-Partei bei Wahl in Bulgarien laut Prognosen knapp vorn,15112021_07:22,https://www.sueddeutsche.de/politik/neue-zentrums-partei-bei-wahl-in-bulgarien-laut-prognosen-knapp-vorn-1.5464326,,,,"Video
                    
                    
                        Die Wahl am Sonntag war bereits die dritte in diesem Jahr in dem EU-Mitgliedsstaat.",15112021,Sueddeutsche,politik
