Titel,URL,Date_Info,News_page,Kategorie,author
Missbrauchsskandal in der katholischen Kirche: Aufregung über Regensburger Bischof,https://www.spiegel.de/panorama/justiz/missbrauchs-skandal-aufregung-ueber-regensburger-bischof-voderholzer-a-e879fc76-22ef-4bec-8956-b64144a96108,03022022_23:23,Spiegel,panorama,
Marokko: Junge steckt seit zwei Tagen in Brunnen fest – in mehr als 30 Metern Tiefe,https://www.spiegel.de/panorama/rettungsaktion-in-marokko-junge-steckt-seit-zwei-tagen-in-einem-brunnen-fest-a-1b738c5f-5233-4a49-9ad8-584bf223ec9f,03022022_23:00,Spiegel,panorama,
Neuer Rückschlag nach dem »Partygate«: Vier enge Vertraute Johnsons treten zurück,https://www.spiegel.de/ausland/boris-johnson-enge-beraterin-tritt-zurueck-a-5ad5c20f-3f22-4c5d-8c40-8416a77b16d9,03022022_22:26,Spiegel,ausland,
Überwachungssoftware: Weitere israelische Firma soll iPhone-Schwächen ausgenutzt haben,https://www.spiegel.de/netzwelt/gadgets/weitere-israelische-firma-soll-iphone-schwaechen-ausgenutzt-haben-a-397881c0-a880-4ecb-88ca-0555e44bf8d8,03022022_22:13,Spiegel,netzwelt,
Gedenkfeier für getötete Polizisten in Kusel: »Die Fassungslosigkeit gemeinsam tragen«,https://www.spiegel.de/panorama/gesellschaft/gedenkfeier-fuer-getoetete-polizisten-die-fassungslosigkeit-gemeinsam-tragen-a-20da7fe9-b1f0-4528-867c-5fda63f44da6,03022022_21:58,Spiegel,panorama,"Von Tobias Großekemper, Kusel"
Putin trifft Xi bei Olympischen Spielen: Besuch vom besten Freund,https://www.spiegel.de/ausland/olympia-2022-in-peking-wladimir-putin-besucht-xi-jinping-ziemlich-beste-freunde-a-4f86bfa1-5706-45e0-82a8-60886f206da1,03022022_21:56,Spiegel,ausland,"Von Georg Fahrion, Peking"
Augsburg: Falsche Polizisten erbeuten mehr als 280.000 Euro von 80-Jährigem,https://www.spiegel.de/panorama/justiz/augsburg-falsche-polizisten-erbeuten-ueber-280-000-euro-von-80-jaehrigem-a-ebfb87f0-8003-429a-87fa-82e7c9af0621,03022022_21:45,Spiegel,panorama,
"Erst Vulkanausbruch, dann Lockdown: Wie Katastrophenhelfer Corona nach Tonga brachten",https://www.spiegel.de/ausland/erst-vulkanausbruch-dann-lockdown-wie-katastrophenhelfer-corona-nach-tonga-brachten-a-01cedba6-064a-4ddc-a501-894a5ad04343,03022022_21:21,Spiegel,ausland,
Klausur der CSU-Bundestagsabgeordneten: »Opposition ist opportunity«,https://www.spiegel.de/politik/deutschland/klausur-der-csu-bundestagsabgeordneten-opposition-ist-opportunity-a-8b0f3e13-2516-454c-98ed-47c4e48ee420,03022022_21:21,Spiegel,politik,Von Anna Clauß und Sophie Garbe
Winterspiele in Peking: Wie der SPIEGEL von Olympia berichtet – und warum,https://www.spiegel.de/sport/olympia/olympia-2022-wie-der-spiegel-ueber-die-winterspiele-in-peking-berichtet-und-warum-a-3c46ec2d-2eaa-4708-a45b-cddc4761b573,03022022_21:20,Spiegel,sport,
Konflikt um russischen Staatssender RT DE: Der Medienkrieg hat gerade erst begonnen,https://www.spiegel.de/kultur/tv/russischer-staatssender-rt-de-der-medienkrieg-hat-gerade-erst-begonnen-a-d720e82e-f185-463e-9de2-e0a4cbcbbbcb,03022022_20:05,Spiegel,kultur,Eine Analyse von Christian Buß
Russland und die Medien: »Völlige Überreaktion«,https://www.spiegel.de/ausland/russland-schliesst-das-moskauer-buero-der-deutschen-welle-voellige-ueberreaktion-a-578f0d76-c03f-48ad-9abd-9dc87d07b151,03022022_20:03,Spiegel,ausland,Von Christian Esch
Diskussion um Rassismus: Die Sache mit Whoopi Goldberg,https://www.spiegel.de/kultur/tv/rassismus-die-sache-mit-whoopi-goldberg-kolumne-a-ced047e1-cf28-43b4-b0d4-328697c79b72,03022022_19:59,Spiegel,kultur,
Golfmonarchie in neuer Rolle: Die Krisenhelfer aus Katar,https://www.spiegel.de/ausland/katar-und-der-westen-das-reiche-golfemirat-das-in-krisenzeiten-auf-die-bildflaeche-tritt-a-9c473107-f4eb-4ce9-b705-4184b8de9ee9,03022022_19:58,Spiegel,ausland,Von Monika Bolliger
Auch die Schweiz lockert ihre Coronamaßnahmen: »Freiheit reimt sich auf Verantwortung«,https://www.spiegel.de/ausland/corona-lockerungen-in-der-schweiz-freiheit-reimt-sich-auf-verantwortung-a-e76382eb-1f2f-4e12-9a4a-fcbd6f4d94da,03022022_19:58,Spiegel,ausland,"Von Ann-Dorit Boy, Genf"
Am Flughafen Köln: Festnahme nach 27 Jahren Fahndung,https://www.spiegel.de/panorama/justiz/koeln-mann-nach-17-jaehriger-fahndung-am-flughafen-festgenommen-a-84a323ba-e883-4129-b93d-2988cf0c8e69,03022022_18:58,Spiegel,panorama,
"Auf Autobahn bei Hannover: Polizei findet Esel, Stinktiere und Schnee-Eulen in Kleintransporter",https://www.spiegel.de/panorama/justiz/hannover-polizei-findet-esel-stinktier-und-schnee-eulen-in-kleintransporter-a-98671aee-66e9-4f4b-a987-1b778d06b709,03022022_18:53,Spiegel,panorama,
"Jobprotokoll Verkehrspolizist: »Es kann immer etwas passieren, von jetzt auf gleich«",https://www.spiegel.de/karriere/verkehrs-kontrollen-es-kann-immer-etwas-passieren-von-jetzt-auf-gleich-a-811661e4-9568-4461-8b9d-41cf427c1d50,03022022_18:32,Spiegel,karriere,Aufgezeichnet von Franca Quecke
Möglicher Kurswechsel: EZB tastet sich in Richtung Zinserhöhung,https://www.spiegel.de/wirtschaft/ezb-tastet-sich-in-richtung-zinserhoehung-a-285152c6-1087-4468-a2b6-41b4eca327e6,03022022_18:22,Spiegel,wirtschaft,Von Tim Bartz
Psychologie-Selbsttest: Können Sie Homeoffice?,https://www.spiegel.de/psychologie/psychologie-selbsttest-koennen-sie-homeoffice-a-18572ab4-a584-434e-afa9-9e280d8797af,03022022_18:22,Spiegel,psychologie,Von Anne Otto
Rätselhafter Weltstar Gerhard Richter: Der Unbarmherzige,https://www.spiegel.de/kultur/gerhard-richter-wird-90-der-unbarmherzige-a-26d52e4a-f898-4843-8b33-a3983907a8fb,03022022_18:20,Spiegel,kultur,Von Ulrike Knöfel
Gesetzentwurf des Finanzministers: Auf diese Coronahilfen dürfen Sie hoffen,https://www.spiegel.de/wirtschaft/service/steuererleichterungen-auf-diese-coronahilfen-duerfen-sie-hoffen-a-1d824942-9faa-4738-a3ea-84bad066fb9b,03022022_18:17,Spiegel,wirtschaft,
Streit über Zollgrenzen: Nordirlands Regierungschef tritt zurück,https://www.spiegel.de/ausland/nordirland-regierungschef-paul-givan-tritt-zurueck-a-7f00c523-473b-43bb-a881-0b0a67e1870a,03022022_18:00,Spiegel,ausland,
Klausurtagung der CSU-Landesgruppe: Merz und Söder sichern sich Unterstützung zu,https://www.spiegel.de/politik/deutschland/cdu-csu-friedrich-merz-und-markus-soeder-sichern-sich-unterstuetzung-zu-a-34bd9fd8-beac-40a0-9f51-91789e4b3bb5,03022022_18:00,Spiegel,politik,
Größte Disney-Hitsingle seit den Neunzigern: »We Don’t Talk About Bruno« – aber alle singen mit,https://www.spiegel.de/kultur/musik/we-don-t-talk-about-bruno-wie-der-encanto-song-zum-groessten-disney-hit-seit-langem-wurde-a-32dac608-c849-43ba-ba21-a3aa31b3eb7a,03022022_17:59,Spiegel,kultur,Von Felix Bayer
Neuseeländer im Ausland: »Das System der Isolation und Quarantäne ist ein Witz«,https://www.spiegel.de/ausland/neuseelaender-unter-corona-im-ausland-das-system-der-isolation-und-quarantaene-ist-ein-witz-a-8b191354-f25a-451d-9130-81a97f0da3bf,03022022_17:57,Spiegel,ausland,
Wirbel um Olympionikin in Quarantäne: Der Fall Kim Meylemans,https://www.spiegel.de/sport/olympia/olympia-2022-athletin-beschwert-sich-emotional-ueber-die-corona-regeln-a-5e3c8140-a56d-442c-b396-46ee2cda73d0,03022022_17:57,Spiegel,sport,Von Marcus Krämer und Andreas Evelt
Vor- und Nachteile des Homeoffice: Sex am Ar­beits­platz!,https://www.spiegel.de/karriere/homeoffice-sex-am-ar-beits-platz-a-1bd75eb6-298c-405b-a5e8-2f599ba04de8,03022022_17:55,Spiegel,karriere,Von Markus Deggerich
