Titel,Overline,Date_Info,Kategorie,URL,detailed_informations,bild_plus,Zugriff_Datum,News_page
Mercedes baut Super-Sportwagen,1000-PS-Silberteil,2022-05-19 19:55:27,Auto-News,/bild-plus/auto/auto-news/auto-news/1000-ps-silberteil-mercedes-baut-super-sportwagen-vision-amg-80127584.bild.html,"
                                Mercedes macht sich radikal fit für die emissionsfreie Antriebswelt. Neuester Wurf: der Vision AMG. ",True,19052022,Bild
Hier gibt der Verdächtige auf,Schütze am Boden,2022-05-19 17:48:12,News,/news/2022/news/bremerhaven-polizei-meldet-schuesse-an-schule-ein-verletzter-80137762.bild.html,"
                                Ein Pfeil steckt in der Hauswand, eine Frau ist schwer verletzt. Amok in Bremerhaven. ",False,19052022,Bild
Supertalent Savic (16) bleibt Fortune,Kampf gewonnen,2022-05-19 16:29:11,2. Bundesliga,/sport/fussball/fussball/fortuna-duesseldorf-supertalent-david-savic-16-bleibt-80142626.bild.html,"
                                Sieg! David Savic ist noch immer 16 Jahre jung und heiß begehrt. Jetzt bleibt er Fortune.",False,19052022,Bild
Vermisster Junge (10) in Park entdeckt,Nach 22 Stunden,2022-05-19 14:54:27,Leipzig,/regional/leipzig/dresden-aktuell/polizei-sucht-junge-10-in-leipzig-spurlos-verschwunden-80135784.bild.html,"
                                Aufatmen im Westen der Messestadt: Ein vermisste zehnjähriger Junge ist wieder da.",False,19052022,Bild
Ex-US-Präsident George W. Bush verwechselt Ukraine mit Irak,Unangenehmer Versprecher,2022-05-19,Politik Ausland,"https://www.bild.de/video/clip/politik-ausland/versprecher-george-w-bush-verwechselt-ukraine-mit-irak-80139182,auto=true.bild.html","
                                In seiner Rede am George W. Bush Institute sprach Bush mit Blick auf Kreml-Tyrann Wladimir Putin von der „Entscheidung eines einzelnen Mannes, eine völlig ungerechtfertigte und brutale Invasion im Irak zu starten“.",False,19052022,Bild
Bus auf dem Weg nach Hannover verunglückt,Schwerer Unfall in Österreich,2022-05-19 10:23:16,Hannover,/regional/hannover/hannover-aktuell/schwerer-unfall-in-oesterreich-19-verletzte-bus-auf-dem-weg-nach-hannover-verung-80137250.bild.html,"
                                25 Menschen waren auf dem Weg nach Hannover - nun sind drei schwer und 16 leicht verletzt!",False,19052022,Bild
Alena Gerber schafft nackte Tatsachen,Gegen Tierversuche,2022-05-19 20:51:02,Hamburg,/regional/hamburg/hamburg-aktuell/wahre-schoenheit-schadet-tieren-nicht-alena-gerber-schafft-nackte-tatsachen-80135428.bild.html,"
                                So nackt haben wir Topmodel und Schauspielerin Alena Gerber (32) noch nie gesehen! ",False,19052022,Bild
So plant Bayern jetzt mit Arp!,Fiete wieder da,2022-05-19 19:54:13,Bundesliga,/bild-plus/sport/fussball/fussball/fc-bayern-muenchen-so-plant-der-meister-jetzt-mit-rueckkehrer-fiete-arp-80143248.bild.html,"
                                Der bestbezahlte Viertligaspieler? Leih-Stürmer Fiete Arp kommt zum FC Bayern zurück.",True,19052022,Bild
Wer hat Janine F. gesehen?,Seit Tagen vermisst,2022-05-19 17:47:57,Sachsen-Anhalt,/regional/sachsen-anhalt/sachsen-anhalt-news/vermisst-junge-frau-verschwunden-80143382.bild.html,"
                                Seit mehreren Tagen wird die junge Frau vermisst. Janine F. braucht medizinische Hilfe.",False,19052022,Bild
Thioune macht endlich wieder Lust auf Fortuna,100 Tage Trainer,2022-05-19 16:29:28,2. Bundesliga,/sport/fussball/fussball/fortuna-duesseldorf-daniel-thioune-100-tage-fortuna-trainer-80142282.bild.html,"
                                Daniel Thioune (47) ist erst so kurz in Düsseldorf. Und nicht mehr wegzudenken...",False,19052022,Bild
6 Comebacks – und wer jetzt auf die WM hoffen darf,Flicks neuer Kader,2022-05-19 14:49:46,Fussball,/sport/fussball/nationalmannschaft/flicks-neuer-kader-6-comebacks-und-wer-jetzt-ploetzlich-auf-die-wm-hoffen-darf-80138518.bild.html,"
                                Bundestrainer Hansi Flick (57) gab seinen Nations-League-Kader für den Juni bekannt.",False,19052022,Bild
Brand im Straßenbahn-Tunnel,Ludwigshafen,2022-05-19 12:42:20,Stuttgart,/regional/stuttgart/stuttgart-aktuell/ludwigshafen-brand-im-strassenbahn-tunnel-80139480.bild.html,"
                                Ein Baustellenfahrzeug hat am frühen Donnerstagmorgen in Ludwigshafen gebrannt.",False,19052022,Bild
Frankfurt-Überflieger gehört dem BVB,Haben Sie es mitbekommen?,2022-05-19,,"https://www.bild.de/video/clip/bild-tv/haben-sie-es-mitbekommen-frankfurt-ueberflieger-gehoert-dem-bvb-reif-ist-live-80136220,auto=true.bild.html","
                                Das ist eine irre Geschichte! Welcher Frankfurt-Star dem BVB gehört, sehen Sie im Video.",False,19052022,Bild
Wird sein Tod nie  gesühnt?,Stückel-Mord! ,2022-05-19 20:51:14,Bremen,/regional/bremen/bremen-aktuell/stueckel-mord-3-verdaechtige-aus-u-haft-wird-sein-tod-nie-gesuehnt-80139602.bild.html,"
                                3 Verdächtige wurden jetzt aus der U-Haft entlassen. Grund: personelle Überlastung.",False,19052022,Bild
Wo läuft die Bundesliga-Relegation?,Hertha gegen den HSV,2022-05-19 19:47:23,Bundesliga,/sport/fussball/fussball/hertha-bsc-hsv-wo-laeuft-die-bundesliga-relegation-heute-im-free-tv-80135378.bild.html,"
                                Heute muss der HSV in der Relegation bei Hertha ran. Das Spiel läuft im Free-TV.",False,19052022,Bild
Ford-Bosse lassen Saarlouis weiter zittern,Nach Rehlingers Besuch,2022-05-19 17:44:14,Saarland,/regional/saarland/saarland-news/nach-rehlingers-besuch-ford-bosse-lassen-saarlouis-weiter-zittern-80142236.bild.html,"
                                Es war eine Reise der Hoffnung, aber leider ohne konkrete Ergebnisse...",False,19052022,Bild
Die Geheimcodes der  „Let’s Dance“-Stars!,Kniffe und Kommandos,2022-05-19 16:29:55,TV,/bild-plus/unterhaltung/tv/tv/lets-dance-finale-am-freitag-die-geheimcodes-der-promi-tanzpaare-80140586.bild.html,"
                                Wenn sie übers Parkett schweben, sprechen diese Stars ihre eigene Sprache –  wortwörtlich!",True,19052022,Bild
DHL-Pilot wird zum Internet-Star,William Verhoest (29),2022-05-19 14:48:39,Leipzig,/regional/leipzig/leipzig-news/william-verhoest-29-dhl-pilot-wird-zum-internet-star-80133988.bild.html,"
                                Gestartet als DHL-Pilot, gelandet als Internet-Star. William Verhoest (29) zeigt uns die Welt aus dem Cockpit seiner Boeing.",False,19052022,Bild
Warum Yasin unbedingt gewinnen will,„Kampf der Realitystars 2022“,2022-05-19 12:42:49,Leute,/unterhaltung/leute/leute/kampf-der-realitystars-darum-will-yasin-mohamed-unbedingt-gewinnen-79675432.bild.html,"
                                Yasin Mohamed nimmt an „Kampf der Realitystars“ 2022 teil. Wer ist das noch mal?",False,19052022,Bild
Verdrängt Trapp jetzt Neuer?,Heiße Frage im Live-TV,2022-05-19,,"https://www.bild.de/video/clip/bild-tv/heisse-frage-im-live-tv-verdraengt-trapp-jetzt-neuer-reif-ist-live-80136140,auto=true.bild.html","
                                Kevin Trapp in der Form seines Lebens. Was das für sein Standing in der Nationalelf bedeutet.",False,19052022,Bild
"„Ich sah, wie der Typ wahllos um sich schoss!“",Mann kickte Waffe weg,2022-05-19 20:51:49,Bremen,/bild-plus/regional/bremen/bremen-aktuell/gewalttat-in-bremerhaven-so-lief-die-festnahme-des-schul-schuetzen-80140446.bild.html,"
                                Ein Zeuge berichtet von der Festnahme des Schul-Schützen aus Bremerhaven.",True,19052022,Bild
Abwahl-Antrag gegen ALLE Hertha-Bosse,Totales Chaos vor Relegation,2022-05-19 19:42:40,Bundesliga,/bild-plus/sport/fussball/fussball/hertha-bsc-totales-chaos-jetzt-abwahlantrag-gegen-alle-hertha-bosse-80133610.bild.html,"
                                Die Chaos-Tage bei Hertha gehen weiter! Nach der Ticket-Panne droht nun Chaos auf der MV.",True,19052022,Bild
Großer Frust bei  Vallourec-Belegschaft,NRW-Werke schließen,2022-05-19 17:40:55,Düsseldorf,/regional/duesseldorf/duesseldorf-regional-politik-und-wirtschaft/duesseldorf-muelheim-grosser-frust-bei-vallourec-belegschaft-80141878.bild.html,"
                                Tag eins nach dem Vallourec-Schock. 1000 Mitarbeiter versammelten sich in Düsseldorf.",False,19052022,Bild
Volles Pfund für  Münzen-Becker,Knast für Karussell-Handel,2022-05-19 16:28:48,Hamburg,/regional/hamburg/hamburg-aktuell/4-jahre-knast-fuer-verbotenen-handel-mit-platin-praegungen-volles-pfund-fuer-mue-80136852.bild.html,"
                                Achim Becker (74), Gründer der Emporium Hamburg Münzhandelsgesellschaft, muss hinter Gitter!",False,19052022,Bild
Kripo Augsburg verhaftet Verdächtigen (49),Sexueller Missbrauch,2022-05-19 14:48:57,München,/regional/muenchen/muenchen-aktuell/sexueller-missbrauch-kripo-augsburg-verhaftet-verdaechtigen-49-80140964.bild.html,"
                                Ein Mann wurde jetzt verhaftet, weil er auf einem Spielplatz ein Kind (8) missbrauchte.",False,19052022,Bild
Ösi-Ghostbusters suchen Geist von Chris Roberts,„Hier ist Christian“,2022-05-19 12:37:31,München,/bild-plus/regional/muenchen/muenchen-aktuell/hier-ist-christian-oesi-ghostbusters-suchen-geist-von-schlagerstar-chris-roberts-80138176.bild.html,"
                                Geisterjäger suchten auf der Burgruine Landskron nach Schlager-Legende Chris Roberts (†73).",True,19052022,Bild
„ER ist sicher ein Thema“,Holt Bayern diesen Star-Stürmer?,2022-05-19,,"https://www.bild.de/video/clip/bild-tv/holt-bayern-diesen-star-stuermer-er-ist-sicher-ein-thema-reif-ist-live-80136300,auto=true.bild.html","
                                Wen holt Bayern, wenn Lewandowski gehen sollte? Die Analyse.",False,19052022,Bild
Unwetter peitscht über NRW,Plötzlich dunkel,2022-05-19 21:02:19,News Inland,/news/inland/ruhrgebiet-aktuell/ploetzlich-wurde-es-dunkel-schwerer-sturm-fegt-ueber-nrw-80142296.bild.html,"
                                Der Deutsche Wetterdienst warnt vor schweren Unwettern am Donnerstagnachmittag in NRW.",False,19052022,Bild
