02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_27122021_12_12_14_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche0_02012022_13_10_11.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche8_28122021_14_19_14.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche11_01012022_13_19_29.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_28112021_12_01_09_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_27122021_12_12_11_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_25112021_15_41_21_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_21112021_08_50_39_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_31122021_17_43_48.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche15_01012022_13_19_50.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche12_02012022_13_11_16.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_21112021_08_50_34_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche20_29122021_12_03_16.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_18112021_14_12_40.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_23112021_15_16_38_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_01122021_11_38_20_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche19_02012022_13_11_52.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche20_28122021_14_20_16.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche9_30122021_13_48_07.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche7_29122021_12_02_10.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_17112021_12_02_49.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche15_02012022_13_11_31.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche12_31122021_17_45_10.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_25112021_15_42_11.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_29122021_12_01_14.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_16122021_12_01_14_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_21112021_08_50_43_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_19122021_12_35_18_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_18112021_14_11_43_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche6_02012022_13_10_45.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_26112021_17_25_57_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche10_02012022_13_11_06.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_02122021_12_17_06_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_27112021_12_01_18.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche18_28122021_14_20_06.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_20122021_14_48_02_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_03122021_12_01_40_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_22112021_13_44_00_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_25122021_13_53_18_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_07122021_12_00_31_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_18112021_14_11_39_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_18112021_14_11_34_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche18_29122021_12_03_06.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche2_02012022_13_10_24.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_11122021_12_11_18_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_28122021_14_18_13.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_17122021_13_05_22_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_10122021_13_35_48_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche15_31122021_17_45_25.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_09122021_16_30_47_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_25122021_13_53_15_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_17112021_12_01_57_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche17_31122021_17_45_36.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_18122021_12_01_05_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche19_31122021_17_45_46.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_27112021_12_00_36_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_04122021_12_00_49_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_14112021_13_29_58_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche7_01012022_13_19_08.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche17_01012022_13_20_00.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_27122021_12_13_02.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_03122021_12_05_13_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche19_30122021_13_48_59.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_12122021_12_52_28.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche2_31122021_17_44_18.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_09122021_16_31_37.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche15_30122021_13_48_38.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_20122021_14_48_57.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche8_01012022_13_19_13.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_27112021_12_00_29_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche12_30122021_13_48_22.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_15122021_21_03_35_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche16_30122021_13_48_43.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_17112021_12_01_45_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_12122021_12_17_55_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_15122021_21_03_42_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_26122021_12_19_55_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_10122021_13_35_45_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_16112021_15_38_10_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche5_01012022_13_18_58.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche2_01012022_13_18_42.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche8_02012022_13_10_55.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_11122021_12_03_35_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_22112021_13_44_13_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_07122021_12_00_24_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_11122021_12_03_38_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_16112021_15_39_14.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche11_30122021_13_48_17.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_14112021_13_29_40_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche13_02012022_13_11_21.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche16_29122021_12_02_56.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_11122021_12_03_42_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_15112021_12_10_20.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_22122021_12_00_58_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche10_29122021_12_02_25.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_03122021_12_05_19_Page3.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_21122021_12_59_21_Page4.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_15112021_12_08_45_Page1.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_10122021_13_36_39.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche4_02012022_13_10_35.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Spiegel_29112021_14_12_39.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche12_29122021_12_02_35.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_19122021_12_34_49_Page2.csv
02-Jan-22 15:01:27 - INFO - FILENAME: from csv Files: Sueddeutsche_26112021_17_25_50_Page2.csv
