30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_15122021_21_03_39_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_26122021_12_19_46_Page2.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Spiegel_03122021_12_06_04.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche10_28122021_14_19_25.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche14_28122021_14_19_45.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_18122021_12_01_09_Page3.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_26122021_12_19_52_Page3.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_19122021_12_46_53_Page4.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Spiegel_19122021_13_03_02.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_23112021_15_16_34_Page3.csv
30-Dec-21 12:07:45 - INFO - FILENAME: from csv Files: Sueddeutsche_17122021_13_04_54_Page2.csv
30-Dec-21 12:07:45 - INFO - get list of html Backlog
30-Dec-21 12:07:45 - INFO - 253 files in html Backlog...
30-Dec-21 12:07:45 - INFO - 122 Html files are not scraped yet
30-Dec-21 12:07:45 - INFO - Start scraping files...
30-Dec-21 12:07:45 - INFO - Scraping: Bild_17112021_12_02_16.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_29122021_12_03_40.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_14112021_13_30_17.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_04122021_12_44_20.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_22122021_12_01_25.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_18112021_14_12_05.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_10122021_13_36_13.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_07122021_12_00_54.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_01122021_11_38_36.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_02122021_12_17_28.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_03122021_12_05_39.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_16112021_15_38_40.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_21112021_08_51_05.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_26122021_12_20_11.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_09122021_16_31_11.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_18122021_12_01_36.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_23122021_18_08_50.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_20122021_14_48_31.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
