keyword_name,ADF_Statistics_wiki,ADF_p_value_wiki,ADF_critical_values_wiki,ADF_Statistics_news,ADF_p_value_news,ADF_critical_values_news,ssr_ftest_pValue_lag1,ssr_ftest_pValue_lag2,ssr_ftest_pValue_lag3,ssr_ftest_pValue_lag4,ssr_ftest_pValue_lag5,ssr_ftest_pValue_lag6,ssr_ftest_pValue_lag7
Bischof,-3.300766399142147,0.01484425116733321,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-9.752504843143939,7.946697591096854e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0812,0.0841,0.0134,0.0328,0.0479,0.028,0.0288
Blick,-10.787925788378583,2.1701221561201145e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.352220838565806,8.237203928968897e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4233,0.2307,0.1351,0.1581,0.2354,0.2084,0.3389
Bochum,-10.629817748793963,5.249567026246462e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.85655250736742,4.344029346291362e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3527,0.5803,0.5798,0.5813,0.5704,0.6887,0.8172
Booster,-5.148397702603663,1.11952881806526e-05,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-5.752529075226604,5.921007726573482e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.9464,0.24,0.2946,0.4538,0.5401,0.6278,0.6173
Boris,-1.8329244588851044,0.3642424200843652,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-9.57164428968692,2.279876145045826e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9986,0.6949,0.4717,0.5012,0.6258,0.6234,0.5126
Brand,-1.639856120186866,0.4623359752116142,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-2.7456807006402366,0.06646154936475132,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.0063,0.022,0.1053,0.2069,0.297,0.5008,0.572
Brandenburg,-2.6396615894583046,0.08507390303066337,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-1.4825075525905342,0.5421461751097705,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.9577,0.0999,0.0713,0.1478,0.2204,0.0955,0.073
Brandenburger,-13.459823150742452,3.547932759503759e-25,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.150782945928738,7.961696741544651e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4992,0.7502,0.9084,0.9538,0.9862,0.9393,0.9306
Brandstiftung,-9.375301921265686,7.194260218665963e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.514747073979347,1.003143580125911e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.092,0.1852,0.3013,0.1599,0.2768,0.3163,0.3516
Bremen,-3.181647673111503,0.021071864957471268,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-2.1010935640369977,0.24407510133581856,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",0.5229,0.9916,0.9771,0.9719,0.9898,0.9928,0.9931
