keyword_name,ADF_Statistics_wiki,ADF_p_value_wiki,ADF_critical_values_wiki,ADF_Statistics_news,ADF_p_value_news,ADF_critical_values_news,ssr_ftest_pValue_lag1,ssr_ftest_pValue_lag2,ssr_ftest_pValue_lag3,ssr_ftest_pValue_lag4,ssr_ftest_pValue_lag5,ssr_ftest_pValue_lag6,ssr_ftest_pValue_lag7,lowest_lag
Sport,-8.792029015987254,2.2272124436221803e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.816262449817643,8.62366545362413e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.5637,0.5919,0.7309,0.7528,0.8537,0.956,0.804,
St.,-13.851681777036259,6.986276168993804e-26,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.283282681295463,0.015642478301256802,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.6718,0.709,0.5294,0.5651,0.7016,0.8232,0.8821,
Staat,-4.974204882995468,2.495530811807162e-05,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.294174045452582,3.506341359079482e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8334,0.6048,0.0806,0.1612,0.2999,0.2785,0.2448,
Staatsanwaltschaft,-3.0810682820747397,0.02798631477257732,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-7.734206800441393,1.1047327761282182e-11,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.657,0.3053,0.5168,0.6822,0.8934,0.9447,0.0415,7.0
Stadion,-8.175416908002179,8.402841857610016e-13,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.743160795406956,2.784610842859309e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3825,0.6745,0.7073,0.8328,0.5014,0.188,0.2491,
Stadt,-2.60785136281929,0.09138538381677219,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.460582478244146,0.125361901121538,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.538,0.4646,0.6868,0.8378,0.6067,0.7564,0.8411,
Start,-12.404913581661662,4.474855771703809e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.12616009801361,3.3701225481969104e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9746,0.5139,0.7908,0.8912,0.9624,0.8976,0.7781,
Steinmeier,-8.07517091641924,1.5122970286121083e-12,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.307798278042808,1.2606354580896788e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8232,0.6689,0.8412,0.8784,0.9142,0.9506,0.9698,
Steuer,-2.324925816135801,0.16405486293052912,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-6.8881196299586085,1.3777373766739365e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.6661,0.5988,0.2823,0.2725,0.5017,0.2819,0.303,
Strafe,-10.818177765860971,1.834276684511107e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.387225435610129,8.176439201209303e-11,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.4184,0.7112,0.8619,0.0462,0.1157,0.0428,0.049,6.0
Straße,-3.012468849922176,0.0337462603612696,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",-2.6760343308567003,0.07827797906486639,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",0.4162,0.4709,0.685,0.4429,0.6414,0.6012,0.6571,
Straßen,-4.704002621000117,8.270783519967455e-05,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-13.181546420703778,1.1932171015887414e-24,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.2193,0.4597,0.4208,0.1899,0.2832,0.2706,0.4062,
Stream,-2.070251050172677,0.25664378860232673,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-6.140936048733713,7.974574431019653e-08,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.4801,0.0033,0.0072,0.0111,0.0124,0.0697,0.0275,2.0
Streit,-10.74964477094596,2.6857388233174688e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.4118639437446483,0.5765753644494641,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",0.4937,0.6036,0.4699,0.6451,0.802,0.7404,0.8666,
Strom,-10.852365082023645,1.517401940548701e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.032062095745497,5.635752074493428e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7213,0.9171,0.9829,0.9951,0.9847,0.6096,0.6072,
Studie,-1.9684334830449464,0.30058307004769486,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-2.9501400312743913,0.039820384760641064,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",0.6533,0.1019,0.1044,0.1265,0.1449,0.1354,0.154,
Sturm,-4.9405563681137625,2.9059805829764825e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-4.8927157577758855,3.6030988426317423e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.3048,0.0012,0.0016,0.0012,0.0018,0.0019,0.0012,2.0
Sturmtief,-4.740026171313597,7.072938218281909e-05,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-7.406504862395139,7.321049608940022e-11,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.2294,0.0053,0.0154,0.0039,0.0035,0.0063,0.0032,7.0
Sturz,-11.99021310252297,3.535466017808954e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.658016491572544,4.481870555368124e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.6596,0.6505,0.758,0.8755,0.9452,0.9471,0.9785,
Stuttgart,-5.269223735264384,6.339374894885019e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-1.7799218302806066,0.39047451777081027,"{'1%': -3.477261624048995, '5%': -2.8821181874544233, '10%': -2.5777431104939494}",0.1055,0.2543,0.3721,0.5713,0.6565,0.3758,0.3615,
Städte,-12.137688791442395,1.6787636270778068e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.176508531756926,0.021385365048687814,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",0.9427,0.303,0.4751,0.6322,0.6453,0.494,0.604,
Stürmer,-2.2604737544280917,0.18503291160711705,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-8.720478271124586,3.396237814795335e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.954,0.3011,0.4507,0.4961,0.3454,0.5189,0.3247,
Suche,-11.076673841872577,4.4148055229454576e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.7751563395984291,0.39286375467796936,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",0.0523,0.0079,0.0211,0.0485,0.0982,0.1706,0.1858,2.0
Supermarkt,-4.6239237732836544,0.00011667093282381631,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-10.49104053810246,1.1468469521659063e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0717,0.2233,0.5162,0.6693,0.7356,0.7467,0.6997,
Söder,-4.426090169387555,0.0002668154464345894,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-9.591406900360973,2.0313959644992815e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7484,0.5845,0.6621,0.8565,0.9334,0.6988,0.5189,
Südwesten,-7.499488819158016,4.291093436645275e-11,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-5.749697445952183,6.006340904701067e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.9143,0.4763,0.6733,0.8837,0.9189,0.7581,0.7762,
Tag,-8.569942810053098,8.249621684576767e-14,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-1.720254015953545,0.420708367776966,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",0.7638,0.8338,0.5891,0.6611,0.7271,0.7559,0.795,
Tage,-10.953065778192224,8.698878738268749e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.3786843718838835,0.011707341005390075,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.1696,0.299,0.4355,0.6083,0.7361,0.7131,0.7303,
Tatort,-1.2159484234130993,0.6666977523961339,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-3.689771590434441,0.004259347942181685,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.195,0.0908,0.0069,0.0307,0.0252,0.0072,0.4859,3.0
Team,-2.4288014940466334,0.13377183908413492,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",-6.381378162900259,2.2179966805442005e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.9844,0.7564,0.7808,0.4024,0.4573,0.6039,0.6641,
Teilnehmer,-9.814952216580851,5.529240118186339e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.542920935030443,8.557614728181663e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4559,0.6918,0.5315,0.5827,0.7339,0.823,0.7887,
Tempo,-2.6406795806469594,0.08487765698098387,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-9.911465000264807,3.160828718377636e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9643,0.0895,0.3944,0.3447,0.3695,0.4586,0.7151,
Tesla,-8.085257572053576,1.4255436111634115e-12,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.453875572855916,1.4151116350300661e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.1324,0.0417,0.0783,0.1559,0.1805,0.2186,0.3044,2.0
Test,-2.181501834223699,0.21302759136978622,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-1.8895361387167058,0.3369995395161779,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",0.684,0.7508,0.6642,0.4516,0.6092,0.5918,0.6941,
The,-5.119432347823657,1.2811018814493271e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-11.527780260313024,3.898010664804731e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9911,0.7635,0.8786,0.9655,0.9894,0.9703,0.9547,
Theater,-1.926670816801806,0.31962018958126803,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-10.155679865758053,7.741204168942801e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.1817,0.021,0.027,0.0277,0.0143,0.0616,0.0997,5.0
Thema,-9.916790530159544,3.064936711421182e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.739092749394527,0.0035956989037888394,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.4737,0.6332,0.7798,0.2645,0.3775,0.383,0.5879,
Thüringen,-1.1973638687806245,0.6747286797236741,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-8.69649849440739,3.9120746474370436e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4509,0.6948,0.8134,0.8136,0.8093,0.9251,0.9312,
Thüringer,-2.672496724307785,0.07891964778167132,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-4.168860560387851,0.0007436000776802436,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.518,0.7557,0.7904,0.8948,0.9164,0.7286,0.6713,
Tiere,-4.065279733974512,0.0011047334720131457,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-11.379855933896227,8.564273715617763e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0387,0.0104,0.0282,0.0124,0.0129,0.0383,0.0619,2.0
Tochter,-11.569736388289154,3.123166361980349e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.836989276798041,7.748784675159732e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0019,0.0024,0.0073,0.0164,0.0125,0.0257,0.0394,1.0
Tod,-6.803605239527176,2.2051445157194028e-09,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.863188457520218,1.4290891164708215e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8829,0.7756,0.62,0.7815,0.8962,0.9287,0.935,
Tor,-3.2541888518819464,0.017054615627545015,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-10.53389051453179,9.00454386644044e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8228,0.9422,0.8787,0.9057,0.9229,0.9644,0.9476,
Tote,-5.263077343841578,6.527045518655085e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-2.774458631077246,0.06201580724594446,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.0185,0.087,0.073,0.1275,0.1468,0.1855,0.2774,1.0
Toter,-3.4130189313316563,0.010522983049514836,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-7.7081190430348325,1.2852655693503363e-11,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.211,0.3735,0.5145,0.7069,0.8167,0.788,0.8689,
Towers,-7.589023594097116,2.5606942639544893e-11,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-2.378902687833157,0.14777971494844772,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.1798,0.3086,0.3092,0.3922,0.5261,0.6414,0.1796,
Trainer,-10.88992164114839,1.2325659808170151e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.214092894465624,1.8538883319312724e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9501,0.9986,0.9623,0.5433,0.6544,0.7076,0.7815,
Training,-2.7581183630599178,0.06450977058990007,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",-9.378907948347425,7.043731345276172e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.1445,0.3632,0.2091,0.2767,0.2171,0.2925,0.2825,
Trauer,-2.4116802626738365,0.1384668428782349,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-1.4502296171505953,0.5579728571457855,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.0079,0.0324,0.0941,0.1254,0.0342,0.0195,0.0282,1.0
Treffen,-6.012000759413655,1.5654262092855166e-07,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-10.26039889833519,4.2516052534244266e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7669,0.9011,0.6451,0.828,0.755,0.857,0.7717,
Trotz,-2.184795153142508,0.21181014746227772,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-4.419567155129267,0.00027403806119973234,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.3795,0.4016,0.0237,0.0549,0.0937,0.1064,0.154,3.0
Trump,-3.8383162806226987,0.00253873920580928,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-4.581795848347956,0.00013952573495536915,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.0335,0.0468,0.1083,0.1776,0.2116,0.157,0.1296,1.0
Truppen,-9.120105999532868,3.222422461831347e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.274091859717547,0.18046003963591528,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.1791,0.2046,0.3183,0.5111,0.5705,0.6261,0.6001,
Tränen,-10.807868766377789,1.9423766863194994e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.428181641415217,6.464984856488982e-11,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.8312,0.884,0.8868,0.5629,0.6615,0.5081,0.5579,
Täter,-11.564656469336379,3.207978726058231e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.524328302392517,9.503499199171344e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9563,0.9871,0.6933,0.6245,0.482,0.5904,0.5707,
Tötung,-6.7773332052244335,2.550987647210007e-09,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-11.516224266432317,4.143893617140786e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3076,0.1869,0.0845,0.0995,0.1761,0.2726,0.4287,
Türkei,-3.005241928509341,0.03440776147084547,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-12.288644631122743,7.919356478653518e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.1709,0.2823,0.4366,0.615,0.6235,0.7297,0.7955,
U-Haft,-6.0621236413506265,1.2055929358119316e-07,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-11.247360571566013,1.7461743357638447e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9114,0.2299,0.3358,0.482,0.2694,0.3233,0.3538,
Ukraine,-2.9935500171374017,0.035501153721976444,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-2.0945633938510935,0.2467063002267823,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",0.1226,0.0003,0.0006,0.0001,0.0001,0.0001,0.0,7.0
Ukraine-Konflikt,-2.816289651937315,0.05598431783698918,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-4.9323165099958715,3.0159927563483216e-05,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.4944,0.4193,0.2041,0.2275,0.2159,0.019,0.0174,7.0
Ukraine-Krieg,0.05031269938589626,0.9625003398843929,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-1.4091092331542556,0.5779013303021091,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.0001,0.0006,0.0009,0.001,0.0192,0.0178,0.0156,1.0
Ukraine-Krise,-3.4570654937114034,0.009160685627696142,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-3.4886473169586214,0.008283486978613619,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ukrainekrieg,-2.1802661173024886,0.21348551343341005,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-2.5616465357456413,0.1011860290838163,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.0386,0.5111,0.1438,0.3126,0.2543,0.1011,0.0338,7.0
Ukrainer,-1.844076715668351,0.3588086375551258,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-1.864950266823861,0.34872491156827634,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.0931,0.0033,0.0179,0.1935,0.0727,0.0412,0.0574,2.0
Umfrage,-2.6317586208156354,0.08660942716562986,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-11.321561135309572,1.1707200361892955e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3824,0.6132,0.2527,0.3159,0.1288,0.1589,0.0467,7.0
Umgang,-9.405693953245905,6.020137554521926e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.828011146894421,0.002633380907508406,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",0.6297,0.7305,0.6257,0.7816,0.8495,0.8243,0.8788,
Unbekannte,-13.164111177044893,1.2894518692595851e-24,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-6.25309370285205,4.405115768853238e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.8557,0.774,0.8001,0.4846,0.3628,0.1584,0.2671,
Und,-10.723548533639306,3.1066294349293797e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-13.543772190506948,2.4841473146123457e-25,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7873,0.2873,0.4565,0.0776,0.1127,0.0224,0.0879,6.0
Unfall,-9.062285212056658,4.529118500380458e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.9532904238609687,0.3074214005904981,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",0.1692,0.21,0.3943,0.4635,0.4737,0.4704,0.5637,
Union,-11.886936655254464,5.992768132658799e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.536968636140454,8.849617422845566e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9478,0.963,0.9484,0.977,0.9582,0.9673,0.9797,
United,-7.796074047960117,7.711703318363824e-12,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-11.07707541338109,4.4051271711716696e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.2221,0.4736,0.6646,0.7683,0.7588,0.7672,0.7067,
Unternehmen,-2.38321898419891,0.1465288482698387,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-3.037950086274941,0.031499136854664746,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",0.5332,0.6432,0.8659,0.7896,0.8619,0.5981,0.2557,
Ursache,-4.70609176746353,8.196311785308417e-05,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-6.996401553825844,7.514162816512395e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.1135,0.1948,0.1221,0.2354,0.0622,0.0847,0.1321,
Urteil,-3.4284748322253935,0.01002563061187233,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-2.3708074400195507,0.1501458516027127,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.3991,0.1952,0.3882,0.4177,0.6501,0.7262,0.6687,
Vater,-10.941729568135965,9.259584939089199e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.995917534020515,1.9404823987311913e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.143,0.3575,0.5215,0.6722,0.3576,0.3117,0.3155,
Verband,-2.4065899747885235,0.13988506930270478,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-9.491421699236433,3.6440238562414165e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4067,0.0636,0.1331,0.243,0.2698,0.4068,0.6409,
Verbot,-3.772268008076342,0.003204140530982306,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-10.810540441176368,1.9137583567491805e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0234,0.0552,0.0749,0.0742,0.057,0.1011,0.1942,1.0
Verdacht,-11.289360473002684,1.3921690076606468e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.030023720747309,2.8885771392404205e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.2761,0.5435,0.6133,0.7673,0.7193,0.8198,0.8341,
Verdächtiger,-12.011354615089479,3.1754071531131107e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.011414576946092,0.0013519065507607982,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.5816,0.799,0.8656,0.8208,0.879,0.9324,0.9751,
Verfahren,-2.950086099744815,0.03982601303102374,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-10.460012866756417,1.366799867632908e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7721,0.3499,0.4197,0.5225,0.7212,0.0346,0.0225,7.0
Verkehr,-4.632718670739661,0.00011237335176860252,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-6.789538354235431,2.384120615176363e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.4022,0.7142,0.783,0.8479,0.9027,0.9195,0.9585,
Verkehrsunfall,-6.8418892118209556,1.782551091893192e-09,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.2728279253011925,0.000494882103445416,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.6617,0.6218,0.8411,0.8274,0.8534,0.8789,0.8904,
