keyword_name,lowest_lag_after_diff_Google_grangerCauses_Wikipedia
Windhorst,6.0
Winterspiele,5.0
Wirbel,6.0
Wirtschaft,5.0
Wissing,3.0
Wladimir,4.0
Wochenende,6.0
Woelki,5.0
Wohnen,4.0
Wohnhaus,3.0
Wohnung,5.0
Wolf,3.0
Worte,7.0
Wunder,3.0
Wut,3.0
Würzburg,3.0
Yeliz,1.0
Ylenia,1.0
York,3.0
Z,2.0
Zahl,5.0
Zahlen,3.0
Zehn,5.0
Zeichen,6.0
Zeitung,4.0
Zeuge,7.0
Zeynep,1.0
Ziel,4.0
Zoll,4.0
Zoo,2.0
Zugunglück,1.0
Zuhause,4.0
Zum,3.0
Zur,4.0
Zusammenarbeit,4.0
Zuschauer,1.0
Zverev,3.0
Zweifel,3.0
Zwickau,7.0
Ärger,5.0
Ärzte,5.0
Öl,3.0
Österreich,3.0
Überfall,7.0
Übernahme,2.0
