keyword_name,ADF_Statistics_wiki_before_diff,ADF_p_value_wiki_before_diff,ADF_critical_values_wiki_before_diff,ADF_Statistics_news_before_diff,ADF_p_value_news_before_diff,ADF_critical_values_news_before_diff,ADF_stationary_wiki_before_diff,ADF_stationary_news_before_diff,KPSS_stationary_wiki_before_diff,KPSS_stationary_news_before_diff,ADF_Statistics_wiki_after_diff,ADF_p_value_wiki_after_diff,ADF_critical_values_wiki_after_diff,ADF_Statistics_news_after_diff,ADF_p_value_news_after_diff,ADF_critical_values_news_after_diff,ADF_stationary_wiki_after_diff,ADF_stationary_news_after_diff,KPSS_stationary_wiki_after_diff,KPSS_stationary_news_after_diff,ssr_ftest_pValue_lag1_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag2_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag3_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag4_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag5_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag6_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag7_after_diff_News_grangerCauses_Wikipedia,ssr_ftest_pValue_lag1_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag2_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag3_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag4_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag5_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag6_after_diff_Wikipedia_grangerCauses_News,ssr_ftest_pValue_lag7_after_diff_Wikipedia_grangerCauses_News,lowest_lag_after_diff_News_grangerCauses_Wikipedia,lowest_lag_after_diff_Wikipedia_grangerCauses_News
Sandhausen,-1.693246834017225,0.4345952270628776,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-1.693246834017225,0.4345952270628776,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",False,False,True,False,-8.295478354717567,4.1513300230681547e-13,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-8.295478354717567,4.1513300230681547e-13,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",True,True,True,True,0.0593,0.0004,0.0038,0.0112,0.0107,0.0017,0.0107,0.8517,0.0703,0.0978,0.293,0.41,0.4209,0.1612,2.0,
Sanktionen,-8.697823531416455,3.8816282799703564e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-8.697823531416455,3.8816282799703564e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-8.079900382041343,1.470983519998256e-12,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-8.079900382041343,1.470983519998256e-12,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",True,True,True,True,0.0027,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
Saudi-Arabien,-7.0457606265477155,5.69255161932508e-10,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.0457606265477155,5.69255161932508e-10,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,False,True,-7.881567054297898,4.687728531251117e-12,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-7.881567054297898,4.687728531251117e-12,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.0019,0.0001,0.0001,0.0006,0.0016,0.0013,0.0022,0.8055,0.4005,0.1029,0.2532,0.0775,0.1128,0.2224,2.0,
Schaden,-0.7064226843292016,0.8450788962661445,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-0.7064226843292016,0.8450788962661445,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",False,False,False,False,-4.514403623826066,0.00018518577003626653,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-4.514403623826066,0.00018518577003626653,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",True,True,True,True,0.8386,0.7207,0.8376,0.7979,0.9262,0.8119,0.2479,0.2123,0.344,0.5587,0.5282,0.6272,0.5363,0.4438,,
Schalke,-1.963080151519781,0.3029919893999752,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",-1.963080151519781,0.3029919893999752,"{'1%': -3.4782936965183815, '5%': -2.882567574015525, '10%': -2.5779830117488745}",False,False,True,False,-2.4130893824009516,0.13807605716459914,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",-2.4130893824009516,0.13807605716459914,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",False,False,True,True,0.0887,0.066,0.0656,0.1626,0.0948,0.1973,0.2375,0.1824,0.13,0.1904,0.325,0.0784,0.0145,0.0094,,7.0
Schleswig-Holstein,-10.96324333631993,8.224773035112874e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.96324333631993,8.224773035112874e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-8.247321362918372,5.509203491859477e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-8.247321362918372,5.509203491859477e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.599,0.4855,0.7047,0.8006,0.9005,0.9565,0.9779,0.5501,0.8272,0.9738,0.9465,0.9817,0.9913,0.9759,,
Schloss,-12.397191952312241,4.6467514418078734e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.397191952312241,4.6467514418078734e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-9.942347901504197,2.6439049278556426e-17,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-9.942347901504197,2.6439049278556426e-17,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",True,True,False,True,0.2602,0.2968,0.3485,0.4318,0.6279,0.7143,0.7286,0.4975,0.4907,0.3872,0.0338,0.0577,0.0382,0.0406,,4.0
Schnee,-3.20169047801129,0.019887036001849205,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-3.20169047801129,0.019887036001849205,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,False,True,-5.683554230066971,8.378931300993833e-07,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-5.683554230066971,8.378931300993833e-07,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",True,True,True,True,0.476,0.119,0.0597,0.1214,0.2061,0.3165,0.3355,0.0283,0.0106,0.0152,0.015,0.0111,0.0033,0.0058,,6.0
Scholz,-5.33022210339715,4.739143919481869e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-5.33022210339715,4.739143919481869e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,True,False,-8.253910054314161,5.300037206113143e-13,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-8.253910054314161,5.300037206113143e-13,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",True,True,True,True,0.9482,0.997,0.9193,0.8995,0.9638,0.9764,0.9866,0.602,0.5778,0.7281,0.5437,0.6949,0.7951,0.7033,,
Schritt,-12.602697647566384,1.7223228052506964e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.602697647566384,1.7223228052506964e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-8.124782116470291,1.1308250017378423e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-8.124782116470291,1.1308250017378423e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,True,True,0.6514,0.4928,0.2044,0.3836,0.6329,0.1261,0.1799,0.4984,0.6877,0.162,0.256,0.5531,0.7382,0.252,,
Schröder,-2.8644142090218647,0.04964539465797441,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-2.8644142090218647,0.04964539465797441,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",True,True,False,False,-9.163806540451278,2.491792040992914e-15,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-9.163806540451278,2.491792040992914e-15,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",True,True,True,True,0.3554,0.2425,0.4653,0.1966,0.2926,0.4073,0.0767,0.1154,0.087,0.1069,0.1304,0.1035,0.061,0.0043,,7.0
Schule,-2.6000133530986504,0.09299450765608497,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-2.6000133530986504,0.09299450765608497,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",False,False,True,False,-3.250382936701845,0.017247373571828532,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",-3.250382936701845,0.017247373571828532,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",True,True,True,True,0.0469,0.2193,0.506,0.2447,0.1865,0.1,0.0746,0.0148,0.0456,0.1111,0.0828,0.1303,0.171,0.187,1.0,1.0
Schulen,-3.252032948205683,0.017163572401026457,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-3.252032948205683,0.017163572401026457,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",True,True,False,False,-12.340010119501674,6.14887798130199e-23,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-12.340010119501674,6.14887798130199e-23,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",True,True,True,False,0.0405,0.124,0.2627,0.3728,0.5205,0.5813,0.6485,0.438,0.9034,0.9411,0.614,0.9036,0.8385,0.8978,1.0,
Schutz,-12.342353722233714,6.078491488006862e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.342353722233714,6.078491488006862e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-7.995223335927448,2.4143376040611634e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-7.995223335927448,2.4143376040611634e-12,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,True,True,0.3566,0.3082,0.3847,0.4315,0.4759,0.5683,0.4654,0.4056,0.8641,0.6141,0.5306,0.319,0.4312,0.4022,,
Schweden,-3.713555205407789,0.00392647801914511,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-3.713555205407789,0.00392647801914511,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,True,False,-10.45171086017248,1.4325596914409406e-18,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-10.45171086017248,1.4325596914409406e-18,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",True,True,True,False,0.6121,0.8741,0.7444,0.8215,0.936,0.8135,0.8946,0.041,0.0109,0.0196,0.0154,0.0238,0.0522,0.0564,,2.0
Schweiz,-2.4014788886996508,0.14131943828150706,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-2.4014788886996508,0.14131943828150706,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",False,False,True,True,-8.119126317556523,1.1689433589453452e-12,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-8.119126317556523,1.1689433589453452e-12,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.1015,0.2929,0.53,0.1719,0.4739,0.4007,0.3903,0.0039,0.0531,0.1464,0.0162,0.0927,0.0631,0.0487,,1.0
Schwer,-12.092662030853612,2.1050549406980306e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.092662030853612,2.1050549406980306e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-6.1198758441723085,8.908517034683658e-08,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",-6.1198758441723085,8.908517034683658e-08,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",True,True,True,True,0.7864,0.8568,0.9517,0.9728,0.9767,0.9857,0.9833,0.6543,0.6273,0.8136,0.7462,0.4853,0.6229,0.3444,,
Schwerin,-3.64399419215645,0.004973560684986984,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-3.64399419215645,0.004973560684986984,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",True,True,True,False,-8.794316481298434,2.1973725873099712e-14,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-8.794316481298434,2.1973725873099712e-14,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",True,True,True,True,0.463,0.8383,0.4844,0.6538,0.4789,0.5498,0.6816,0.2919,0.5971,0.454,0.6949,0.7538,0.7594,0.4497,,
Schwesig,-2.673454549911966,0.0787455066347722,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-2.673454549911966,0.0787455066347722,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",False,False,True,True,-4.866618723101205,4.0485339076239576e-05,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-4.866618723101205,4.0485339076239576e-05,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",True,True,False,True,0.1407,0.0668,0.1524,0.2559,0.4582,0.4086,0.3914,0.2063,0.5747,0.4616,0.8049,0.5954,0.3609,0.314,,
Schüler,-3.497356621769819,0.008055241700135512,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-3.497356621769819,0.008055241700135512,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",True,True,True,False,-4.567049778764586,0.00014849036811895666,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-4.567049778764586,0.00014849036811895666,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",True,True,False,True,0.8037,0.1387,0.2949,0.1853,0.164,0.43,0.0623,0.1939,0.1016,0.13,0.1092,0.4268,0.4749,0.64,,
Sechs,-4.528980832709885,0.00017424173832040042,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-4.528980832709885,0.00017424173832040042,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,False,False,-8.341522723865717,3.1666586260699214e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-8.341522723865717,3.1666586260699214e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.1677,0.0139,0.0471,0.0672,0.1433,0.1878,0.3207,0.6468,0.4828,0.8547,0.8362,0.6936,0.8198,0.9455,2.0,
See,-9.46737561685342,4.19467385347757e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.46737561685342,4.19467385347757e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-9.030164740383825,5.472305717337895e-15,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-9.030164740383825,5.472305717337895e-15,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.9379,0.933,0.4775,0.7981,0.1538,0.3494,0.2734,0.0978,0.2381,0.3204,0.4645,0.0233,0.0666,0.0906,,5.0
Selenskyj,-2.4628872276178324,0.12476731559712201,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.4628872276178324,0.12476731559712201,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,False,False,-7.026908331824018,6.329933865968588e-10,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-7.026908331824018,6.329933865968588e-10,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",True,True,True,True,0.0032,0.0003,0.0001,0.0006,0.0,0.0,0.0,0.0345,0.5147,0.0255,0.1353,0.1078,0.1353,0.2015,5.0,3.0
Senat,-2.2792238667506934,0.17875625894752722,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.2792238667506934,0.17875625894752722,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,False,False,-9.559614551232583,2.4458463933514465e-16,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-9.559614551232583,2.4458463933514465e-16,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.7934,0.0219,0.0728,0.0288,0.0412,0.0498,0.1081,0.3231,0.6337,0.9641,0.6377,0.7137,0.801,0.8487,2.0,
Serie,-5.338508931518231,4.554610866114372e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-5.338508931518231,4.554610866114372e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",True,True,False,False,-6.795208164903296,2.310318235434773e-09,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-6.795208164903296,2.310318235434773e-09,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",True,True,True,True,0.4972,0.1661,0.035,0.0442,0.0297,0.0451,0.0555,0.0483,0.0498,0.1984,0.5531,0.6396,0.7216,0.6064,5.0,1.0
Sicherheit,-2.2499003163297173,0.1886352394540018,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.2499003163297173,0.1886352394540018,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,True,False,-10.455189548227459,1.404625385424299e-18,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-10.455189548227459,1.404625385424299e-18,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.8213,0.6335,0.4429,0.704,0.0723,0.2671,0.3098,0.0132,0.0258,0.0766,0.0813,0.1191,0.212,0.3569,,1.0
Sieben,-9.890819052285163,3.5619855914072496e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.890819052285163,3.5619855914072496e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-6.920051394498195,1.1526674165633812e-09,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-6.920051394498195,1.1526674165633812e-09,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",True,True,True,True,0.6639,0.9385,0.5962,0.8618,0.9328,0.9817,0.9701,0.1002,0.3011,0.1202,0.2576,0.3873,0.2329,0.1054,,
Sieben-Tage-Inzidenz,-2.3308626893972457,0.16220722096461976,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.3308626893972457,0.16220722096461976,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,False,True,-8.588278474275517,7.404545997691325e-14,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",-8.588278474275517,7.404545997691325e-14,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",True,True,True,True,0.6777,0.1502,0.2331,0.0809,0.1236,0.2341,0.2951,0.487,0.4819,0.6023,0.5528,0.4999,0.5171,0.74,,
Sieg,-6.840260255879466,1.7987797686152482e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-6.840260255879466,1.7987797686152482e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",True,True,True,False,-8.506312000846407,1.2002642406118807e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-8.506312000846407,1.2002642406118807e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.0405,0.1339,0.0322,0.0383,0.0618,0.1145,0.197,0.7152,0.3005,0.33,0.0666,0.1014,0.1753,0.3411,3.0,
Silvester,-7.444103370505163,5.900222446152043e-11,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.444103370505163,5.900222446152043e-11,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,True,-8.087338174513635,1.4082754111681541e-12,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",-8.087338174513635,1.4082754111681541e-12,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",True,True,True,True,0.6193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Sohn,-12.14074352520885,1.6532478077163482e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.14074352520885,1.6532478077163482e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,True,-7.3567556098138125,9.73482237228108e-11,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-7.3567556098138125,9.73482237228108e-11,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",True,True,True,True,0.9784,0.945,0.9926,1.0,0.9993,0.5651,0.6704,0.3214,0.5789,0.7712,0.8305,0.7771,0.8225,0.8689,,
Solidarität,-1.4557340625998472,0.5552844869667973,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-1.4557340625998472,0.5552844869667973,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",False,False,False,False,-7.516157016764034,3.898400104864214e-11,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-7.516157016764034,3.898400104864214e-11,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.6813,0.564,0.6715,0.798,0.7315,0.8575,0.918,0.158,0.2929,0.1229,0.1537,0.1971,0.233,0.1605,,
Sommer,-4.12848584236162,0.0008686855046592085,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-4.12848584236162,0.0008686855046592085,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",True,True,True,False,-8.208440296682898,6.922325726155688e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-8.208440296682898,6.922325726155688e-13,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,True,0.1876,0.8077,0.6757,0.662,0.7815,0.85,0.9291,0.0803,0.1318,0.1986,0.1413,0.2259,0.3285,0.4585,,
Sonne,-7.676538570663129,1.5434558936588567e-11,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.676538570663129,1.5434558936588567e-11,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,False,-8.883863142886243,1.2960034171697353e-14,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-8.883863142886243,1.2960034171697353e-14,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",True,True,True,False,0.3077,0.445,0.7092,0.828,0.8534,0.9677,0.9592,0.5445,0.6695,0.904,0.9525,0.698,0.8286,0.8714,,
Sonntag,-2.9082065294474426,0.04440197859483138,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-2.9082065294474426,0.04440197859483138,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",True,True,True,False,-7.9982129594175415,2.372506121069714e-12,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-7.9982129594175415,2.372506121069714e-12,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",True,True,True,True,0.1825,0.0113,0.0208,0.0862,0.4313,0.0042,0.011,0.5451,0.27,0.1086,0.4539,0.528,0.7047,0.3007,6.0,
Sorge,-4.655447738416486,0.00010195607889288819,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-4.655447738416486,0.00010195607889288819,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",True,True,True,False,-14.40966140578704,8.245173897187272e-27,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-14.40966140578704,8.245173897187272e-27,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",True,True,True,True,0.5205,0.4004,0.8216,0.821,0.3198,0.5024,0.4094,0.2651,0.299,0.5366,0.5817,0.7087,0.9488,0.8688,,
Sorgen,-10.121010658677795,9.445214117132548e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.121010658677795,9.445214117132548e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",True,True,True,True,-6.271412590911801,3.9958376719933814e-08,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",-6.271412590911801,3.9958376719933814e-08,"{'1%': -3.47864788917503, '5%': -2.882721765644168, '10%': -2.578065326612056}",True,True,False,True,0.7326,0.2601,0.3081,0.3328,0.3186,0.4756,0.5607,0.5654,0.7762,0.8012,0.9063,0.8934,0.8589,0.7238,,
